STATE/UT,Year,Population,Literates - Males,Literates - Females,Population - Males,Population - Females,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total Crimes against Women,Total Crimes In India
Andaman and Nicobar Islands,2001,356650,146831,106304,192972,163180,2001,3,2,0,19,1,9,0,27,99295582
ANDHRA PRADESH,2001,75728400,23444788,16489535,22807968,22414768,2001,871,765,420,3544,2271,5791,7,34,
ARUNACHAL PRADESH,2001,1098328,303281,181504,579941,518027,2001,33,55,0,78,3,11,0,27,
ASSAM,2001,26638600,8188697,5826657,13777037,12878491,2001,817,1070,59,850,4,1248,0,22,
BIHAR,2001,82879910,20644376,10465201,43243795,39754714,2001,888,518,859,562,21,1558,83,27,
CHANDIGARH,2001,901080,382686,260559,506938,393697,2001,18,50,3,24,15,36,0,22,
CHHATTISGARH,2001,20834530,6711395,4461754,10474218,10359585,2001,959,171,70,1763,161,840,0,36,
Dadra and Nagar Haveli,2001,220963,72149,31755,121666,98824,2001,6,2,0,7,0,4,0,54,
Daman and Diu,2001,158080,70992,36608,92512,65692,2001,0,3,0,0,0,4,0,80,
DELHI,2001,13851503,5700847,3963917,7607234,6243273,2001,381,964,113,502,90,138,0,91,
GOA,2001,1348900,541032,444530,687248,660420,2001,12,6,2,17,7,11,0,82,
GUJARAT,2001,50597200,17833273,11994477,26385577,24285440,2001,286,857,67,756,111,3667,0,48,
HARYANA,2001,21083900,7480209,4613468,11363953,9780611,2001,398,297,285,478,401,1513,0,47,
HIMACHAL PRADESH,2001,6077453,2278386,1763235,3087940,2989960,2001,124,105,10,310,14,317,0,102,
Jammu and Kashmir,2001,10070300,3060628,1746658,5360926,4782774,2001,169,504,13,622,288,50,0,112,
JHARKHAND,2001,26946070,7646857,4130344,13885037,13060792,2001,567,279,217,297,5,484,2,13669,
KARNATAKA,2001,52734986,17661211,12773751,26898918,25951644,2001,293,271,220,1665,81,1755,0,15146,
KERALA,2001,31839000,12753602,12732086,15468614,16372760,2001,562,97,27,1942,81,2561,0,16929,
LAKSHADWEEP,2001,61300,24511,20172,31131,29519,2001,0,0,0,0,0,0,0,17075,
MADHYA PRADESH,2001,60385090,19672274,11920289,31443652,28904371,2001,2851,668,609,7063,751,2562,0,17175,
MAHARASHTRA,2001,96752500,37184963,26780980,50400596,46478031,2001,1302,611,308,2823,1120,6090,1,19006,
MANIPUR,2001,2294480,753466,557068,1161952,1131944,2001,20,62,0,21,0,5,0,22304,
MEGHALAYA,2001,2306540,614272,543603,1176087,1142735,2001,26,11,0,25,0,4,0,21796,
MIZORAM,2001,889690,350105,311340,459109,429464,2001,52,1,0,52,0,16,3,23224,
NAGALAND,2001,1990275,640201,492122,1047141,942895,2001,17,6,0,6,0,0,0,24757,
ODISHA,2001,36707900,11992333,7844722,18660570,18144090,2001,790,434,294,1655,458,1266,0,25536,
PUDUCHERRY,2001,974820,378758,317609,486961,487384,2001,9,3,1,35,27,3,0,25167,
PUNJAB,2001,24289130,8442293,6314677,12985045,11373954,2001,298,324,159,372,47,1128,0,30438,
RAJASTHAN,2001,56473300,18047157,9654853,29420011,27087177,2001,1049,2165,376,2878,56,5532,1,15455,
SIKKIM,2001,541902,189060,129275,288484,252367,2001,8,2,0,0,14,0,0,180,
TAMIL NADU,2001,62111390,22809662,17714883,31400909,31004770,2001,423,607,191,1773,1012,815,14,159,
TRIPURA,2001,3191880,1150707,871392,1642225,1556978,2001,102,35,16,58,0,227,0,139,
UTTAR PRADESH,2001,166053600,48901413,26817871,87565369,78632552,2001,1958,2879,2211,2870,2575,7365,0,148,
UTTARAKHAND,2001,8489100,3008875,2096907,4325924,4163425,2001,74,126,56,103,84,301,0,150,
WEST BENGAL,2001,80221300,27452426,19743975,41465985,38710212,2001,709,695,265,954,48,3859,3,168,
Andaman and Nicobar Islands,2002,356650,146831,106304,192972,163180,2002,2,1,0,17,3,4,0,185,
ANDHRA PRADESH,2002,75728400,23444788,16489535,22807968,22414768,2002,1002,854,449,3799,2024,7018,0,175,
ARUNACHAL PRADESH,2002,1098328,303281,181504,579941,518027,2002,38,38,0,68,2,13,0,164,
ASSAM,2002,26638600,8188697,5826657,13777037,12878491,2002,970,1276,70,984,7,1694,0,190,
BIHAR,2002,82879910,20644376,10465201,43243795,39754714,2002,1040,744,927,621,6,1577,38,171,
CHANDIGARH,2002,901080,382686,260559,506938,393697,2002,18,47,1,36,28,56,0,200,
CHHATTISGARH,2002,20834530,6711395,4461754,10474218,10359585,2002,992,154,85,1483,147,653,0,286,
Dadra and Nagar Haveli,2002,220963,72149,31755,121666,98824,2002,4,5,0,3,0,3,0,341,
Daman and Diu,2002,158080,70992,36608,92512,65692,2002,0,2,0,0,0,3,0,4048,
DELHI,2002,13851503,5700847,3963917,7607234,6243273,2002,403,893,135,446,128,135,0,5001,
GOA,2002,1348900,541032,444530,687248,660420,2002,12,5,2,18,6,8,0,5198,
GUJARAT,2002,50597200,17833273,11994477,26385577,24285440,2002,267,807,62,750,104,3321,0,5636,
HARYANA,2002,21083900,7480209,4613468,11363953,9780611,2002,361,290,256,454,1424,1565,0,5920,
HIMACHAL PRADESH,2002,6077453,2278386,1763235,3087940,2989960,2002,137,116,6,326,12,234,0,6741,
Jammu and Kashmir,2002,10070300,3060628,1746658,5360926,4782774,2002,192,596,18,785,368,54,0,6807,
JHARKHAND,2002,26946070,7646857,4130344,13885037,13060792,2002,797,178,275,411,3,588,36,8082,
KARNATAKA,2002,52734986,17661211,12773751,26898918,25951644,2002,292,300,233,1648,100,1826,0,9644,
KERALA,2002,31839000,12753602,12732086,15468614,16372760,2002,499,91,17,2123,102,2836,0,11493,
LAKSHADWEEP,2002,61300,24511,20172,31131,29519,2002,1,0,0,1,0,0,0,11462,
MADHYA PRADESH,2002,60385090,19672274,11920289,31443652,28904371,2002,2891,639,674,7118,783,3117,0,13470,
MAHARASHTRA,2002,96752500,37184963,26780980,50400596,46478031,2002,1352,650,303,2686,769,5353,0,17390,
MANIPUR,2002,2294480,753466,557068,1161952,1131944,2002,14,82,0,58,0,10,0,18790,
MEGHALAYA,2002,2306540,614272,543603,1176087,1142735,2002,38,10,0,23,0,0,0,4489,
MIZORAM,2002,889690,350105,311340,459109,429464,2002,76,2,0,73,0,3,0,4953,
NAGALAND,2002,1990275,640201,492122,1047141,942895,2002,17,4,0,1,0,0,0,5184,
ODISHA,2002,36707900,11992333,7844722,18660570,18144090,2002,691,432,248,1605,188,1167,0,6847,
PUDUCHERRY,2002,974820,378758,317609,486961,487384,2002,6,6,5,59,26,9,0,5202,
PUNJAB,2002,24289130,8442293,6314677,12985045,11373954,2002,299,354,166,341,145,944,0,5818,
RAJASTHAN,2002,56473300,18047157,9654853,29420011,27087177,2002,1051,2019,399,2730,44,5691,0,6543,
SIKKIM,2002,541902,189060,129275,288484,252367,2002,6,2,0,17,0,3,0,7335,
TAMIL NADU,2002,62111390,22809662,17714883,31400909,31004770,2002,534,714,243,1877,1718,1052,0,7511,
TRIPURA,2002,3191880,1150707,871392,1642225,1556978,2002,108,48,16,128,0,236,0,7450,
UTTAR PRADESH,2002,166053600,48901413,26817871,87565369,78632552,2002,1415,2298,1893,2145,1887,5679,0,8815,
UTTARAKHAND,2002,8489100,3008875,2096907,4325924,4163425,2002,89,155,66,145,97,316,1,9836,
WEST BENGAL,2002,80221300,27452426,19743975,41465985,38710212,2002,759,694,273,964,34,4069,1,11652,
Andaman and Nicobar Islands,2003,356650,146831,106304,192972,163180,2003,2,2,0,9,2,7,0,12553,
ANDHRA PRADESH,2003,75728400,23444788,16489535,22807968,22414768,2003,946,931,466,4128,2286,8167,5,146,
ARUNACHAL PRADESH,2003,1098328,303281,181504,579941,518027,2003,31,51,0,43,0,14,0,186,
ASSAM,2003,26638600,8188697,5826657,13777037,12878491,2003,1095,1351,60,878,6,1808,0,155,
BIHAR,2003,82879910,20644376,10465201,43243795,39754714,2003,985,674,909,688,11,1880,37,179,
CHANDIGARH,2003,901080,382686,260559,506938,393697,2003,18,28,1,11,4,93,0,196,
CHHATTISGARH,2003,20834530,6711395,4461754,10474218,10359585,2003,898,149,79,1481,105,601,0,221,
Dadra and Nagar Haveli,2003,220963,72149,31755,121666,98824,2003,1,4,0,4,0,2,0,224,
Daman and Diu,2003,158080,70992,36608,92512,65692,2003,5,1,1,3,0,0,0,135,
DELHI,2003,13851503,5700847,3963917,7607234,6243273,2003,490,797,130,489,105,1211,0,146,
GOA,2003,1348900,541032,444530,687248,660420,2003,31,13,2,19,7,24,0,138,
GUJARAT,2003,50597200,17833273,11994477,26385577,24285440,2003,236,859,54,722,92,3684,0,154,
HARYANA,2003,21083900,7480209,4613468,11363953,9780611,2003,353,271,222,344,1302,1618,0,241,
HIMACHAL PRADESH,2003,6077453,2278386,1763235,3087940,2989960,2003,126,96,6,250,18,221,0,481,
Jammu and Kashmir,2003,10070300,3060628,1746658,5360926,4782774,2003,211,615,10,875,376,71,0,424,
JHARKHAND,2003,26946070,7646857,4130344,13885037,13060792,2003,712,262,262,424,2,559,0,3964,
KARNATAKA,2003,52734986,17661211,12773751,26898918,25951644,2003,321,244,194,1585,84,1704,0,3514,
KERALA,2003,31839000,12753602,12732086,15468614,16372760,2003,394,102,33,1947,68,2930,0,3313,
LAKSHADWEEP,2003,61300,24511,20172,31131,29519,2003,2,0,0,1,0,1,0,3747,
MADHYA PRADESH,2003,60385090,19672274,11920289,31443652,28904371,2003,2738,608,648,6848,705,2938,0,3588,
MAHARASHTRA,2003,96752500,37184963,26780980,50400596,46478031,2003,1268,626,368,2661,682,5452,0,3735,
MANIPUR,2003,2294480,753466,557068,1161952,1131944,2003,18,71,0,44,0,4,0,3747,
MEGHALAYA,2003,2306540,614272,543603,1176087,1142735,2003,40,10,0,13,1,4,0,3943,
MIZORAM,2003,889690,350105,311340,459109,429464,2003,54,2,0,88,0,3,0,3976,
NAGALAND,2003,1990275,640201,492122,1047141,942895,2003,14,3,0,4,2,0,1,4157,
ODISHA,2003,36707900,11992333,7844722,18660570,18144090,2003,725,373,279,1669,188,1289,0,4186,
PUDUCHERRY,2003,974820,378758,317609,486961,487384,2003,2,13,1,56,27,4,0,4208,
PUNJAB,2003,24289130,8442293,6314677,12985045,11373954,2003,380,295,110,346,199,987,0,6993,
RAJASTHAN,2003,56473300,18047157,9654853,29420011,27087177,2003,1050,1750,389,2715,33,5733,1,6122,
SIKKIM,2003,541902,189060,129275,288484,252367,2003,10,0,0,25,0,1,0,19,
TAMIL NADU,2003,62111390,22809662,17714883,31400909,31004770,2003,557,632,220,2022,881,1555,1,15,
TRIPURA,2003,3191880,1150707,871392,1642225,1556978,2003,114,29,20,127,0,247,0,11,
UTTAR PRADESH,2003,166053600,48901413,26817871,87565369,78632552,2003,911,1499,1322,1098,4970,2626,0,22,
UTTARAKHAND,2003,8489100,3008875,2096907,4325924,4163425,2003,107,134,93,136,98,317,0,24,
WEST BENGAL,2003,80221300,27452426,19743975,41465985,38710212,2003,1002,801,329,1186,71,4948,1,32,
Andaman and Nicobar Islands,2004,356650,146831,106304,192972,163180,2004,10,3,0,6,3,5,0,16,
ANDHRA PRADESH,2004,75728400,23444788,16489535,22807968,22414768,2004,1016,1030,512,3817,2310,8388,2,25,
ARUNACHAL PRADESH,2004,1098328,303281,181504,579941,518027,2004,42,41,0,61,0,4,0,19,
ASSAM,2004,26638600,8188697,5826657,13777037,12878491,2004,1171,1552,74,883,11,1945,0,29,
BIHAR,2004,82879910,20644376,10465201,43243795,39754714,2004,1390,997,1029,704,13,2679,35,17,
CHANDIGARH,2004,901080,382686,260559,506938,393697,2004,19,43,6,20,18,73,0,14,
CHHATTISGARH,2004,20834530,6711395,4461754,10474218,10359585,2004,969,174,71,1661,131,741,0,19,
Dadra and Nagar Haveli,2004,220963,72149,31755,121666,98824,2004,7,7,0,5,0,3,0,21,
Daman and Diu,2004,158080,70992,36608,92512,65692,2004,1,0,0,1,0,4,0,7,
DELHI,2004,13851503,5700847,3963917,7607234,6243273,2004,551,881,126,601,130,1254,0,5,
GOA,2004,1348900,541032,444530,687248,660420,2004,37,10,2,23,15,17,0,10,
GUJARAT,2004,50597200,17833273,11994477,26385577,24285440,2004,339,905,58,757,164,3955,0,6,
HARYANA,2004,21083900,7480209,4613468,11363953,9780611,2004,386,292,251,403,850,2026,0,9,
HIMACHAL PRADESH,2004,6077453,2278386,1763235,3087940,2989960,2004,153,99,8,284,16,252,0,8,
Jammu and Kashmir,2004,10070300,3060628,1746658,5360926,4782774,2004,218,632,9,990,264,82,0,6,
JHARKHAND,2004,26946070,7646857,4130344,13885037,13060792,2004,797,178,275,411,3,588,36,9,
KARNATAKA,2004,52734986,17661211,12773751,26898918,25951644,2004,291,286,259,1435,57,1588,0,9,
KERALA,2004,31839000,12753602,12732086,15468614,16372760,2004,480,142,31,2260,133,3222,0,8,
LAKSHADWEEP,2004,61300,24511,20172,31131,29519,2004,0,0,0,0,0,1,0,5,
MADHYA PRADESH,2004,60385090,19672274,11920289,31443652,28904371,2004,2875,584,751,6690,804,3436,0,8,
MAHARASHTRA,2004,96752500,37184963,26780980,50400596,46478031,2004,1388,787,314,2831,862,5646,0,18,
MANIPUR,2004,2294480,753466,557068,1161952,1131944,2004,31,71,0,30,0,2,0,7,
MEGHALAYA,2004,2306540,614272,543603,1176087,1142735,2004,54,18,2,34,0,5,0,2188,
MIZORAM,2004,889690,350105,311340,459109,429464,2004,20,0,0,66,0,0,0,2140,
NAGALAND,2004,1990275,640201,492122,1047141,942895,2004,18,4,0,3,1,0,0,3222,
ODISHA,2004,36707900,11992333,7844722,18660570,18144090,2004,770,423,319,1811,170,1192,0,3543,
PUDUCHERRY,2004,974820,378758,317609,486961,487384,2004,4,8,6,50,30,2,0,4190,
PUNJAB,2004,24289130,8442293,6314677,12985045,11373954,2004,390,311,113,261,38,801,0,4416,
RAJASTHAN,2004,56473300,18047157,9654853,29420011,27087177,2004,1038,1881,379,2825,41,6781,1,4725,
SIKKIM,2004,541902,189060,129275,288484,252367,2004,3,4,0,40,0,1,0,3859,
TAMIL NADU,2004,62111390,22809662,17714883,31400909,31004770,2004,618,692,225,1861,1081,1437,0,4218,
TRIPURA,2004,3191880,1150707,871392,1642225,1556978,2004,160,54,20,134,0,302,0,4475,
UTTAR PRADESH,2004,166053600,48901413,26817871,87565369,78632552,2004,1397,2324,1708,1900,2682,4950,3,5193,
UTTARAKHAND,2004,8489100,3008875,2096907,4325924,4163425,2004,115,127,82,143,110,405,0,5920,
WEST BENGAL,2004,80221300,27452426,19743975,41465985,38710212,2004,1475,1018,396,1566,64,6334,12,12853,
Andaman and Nicobar Islands,2005,356650,146831,106304,192972,163180,2005,4,1,0,11,1,5,0,15139,
ANDHRA PRADESH,2005,75728400,23444788,16489535,22807968,22414768,2005,935,995,443,3595,2508,8696,3,55,
ARUNACHAL PRADESH,2005,1098328,303281,181504,579941,518027,2005,35,39,0,67,0,9,0,51,
ASSAM,2005,26638600,8188697,5826657,13777037,12878491,2005,1238,1456,99,899,19,2206,3,96,
BIHAR,2005,82879910,20644376,10465201,43243795,39754714,2005,1147,929,1014,451,13,1574,74,104,
CHANDIGARH,2005,901080,382686,260559,506938,393697,2005,33,45,3,31,9,75,0,83,
CHHATTISGARH,2005,20834530,6711395,4461754,10474218,10359585,2005,990,184,100,1450,132,732,0,70,
Dadra and Nagar Haveli,2005,220963,72149,31755,121666,98824,2005,5,9,0,5,0,5,0,70,
Daman and Diu,2005,158080,70992,36608,92512,65692,2005,2,2,1,1,0,3,0,116,
DELHI,2005,13851503,5700847,3963917,7607234,6243273,2005,658,1106,114,762,225,1324,1,140,
GOA,2005,1348900,541032,444530,687248,660420,2005,20,12,2,30,8,11,0,124,
GUJARAT,2005,50597200,17833273,11994477,26385577,24285440,2005,324,916,48,802,104,4090,0,106,
HARYANA,2005,21083900,7480209,4613468,11363953,9780611,2005,461,344,212,380,597,2075,0,160,
HIMACHAL PRADESH,2005,6077453,2278386,1763235,3087940,2989960,2005,141,102,2,286,29,228,0,412,
Jammu and Kashmir,2005,10070300,3060628,1746658,5360926,4782774,2005,201,658,5,830,371,76,0,475,
JHARKHAND,2005,26946070,7646857,4130344,13885037,13060792,2005,753,283,257,293,36,590,4,5744,
KARNATAKA,2005,52734986,17661211,12773751,26898918,25951644,2005,343,312,261,1585,71,1883,0,5311,
KERALA,2005,31839000,12753602,12732086,15468614,16372760,2005,478,129,21,2339,175,3283,0,5647,
LAKSHADWEEP,2005,61300,24511,20172,31131,29519,2005,0,0,0,0,0,0,0,6178,
MADHYA PRADESH,2005,60385090,19672274,11920289,31443652,28904371,2005,2921,604,739,6426,792,2989,3,6284,
MAHARASHTRA,2005,96752500,37184963,26780980,50400596,46478031,2005,1545,851,341,3228,919,6233,0,7200,
MANIPUR,2005,2294480,753466,557068,1161952,1131944,2005,25,69,0,25,0,20,0,8216,
MEGHALAYA,2005,2306540,614272,543603,1176087,1142735,2005,63,19,1,44,0,3,0,8564,
MIZORAM,2005,889690,350105,311340,459109,429464,2005,37,0,4,49,4,0,0,7966,
NAGALAND,2005,1990275,640201,492122,1047141,942895,2005,17,9,0,7,0,0,0,8095,
ODISHA,2005,36707900,11992333,7844722,18660570,18144090,2005,799,547,334,2238,184,1671,0,8741,
PUDUCHERRY,2005,974820,378758,317609,486961,487384,2005,6,3,4,60,26,6,0,9517,
PUNJAB,2005,24289130,8442293,6314677,12985045,11373954,2005,398,329,99,308,43,729,0,12123,
RAJASTHAN,2005,56473300,18047157,9654853,29420011,27087177,2005,993,1549,361,2503,28,5997,0,10567,
SIKKIM,2005,541902,189060,129275,288484,252367,2005,18,2,0,38,0,4,0,3372,
TAMIL NADU,2005,62111390,22809662,17714883,31400909,31004770,2005,571,783,215,1764,665,1650,0,4350,
TRIPURA,2005,3191880,1150707,871392,1642225,1556978,2005,162,43,34,161,1,439,0,4110,
UTTAR PRADESH,2005,166053600,48901413,26817871,87565369,78632552,2005,1217,2256,1564,1835,2881,4505,0,4208,
UTTARAKHAND,2005,8489100,3008875,2096907,4325924,4163425,2005,133,125,63,100,89,272,0,4069,
WEST BENGAL,2005,80221300,27452426,19743975,41465985,38710212,2005,1686,1039,446,1572,54,6936,61,4525,
Andaman and Nicobar Islands,2006,356650,146831,106304,192972,163180,2006,6,5,0,14,4,7,0,4549,
ANDHRA PRADESH,2006,75728400,23444788,16489535,22807968,22414768,2006,1049,1329,519,4534,2411,9164,0,5052,
ARUNACHAL PRADESH,2006,1098328,303281,181504,579941,518027,2006,37,51,1,63,2,14,0,5216,
ASSAM,2006,26638600,8188697,5826657,13777037,12878491,2006,1244,1544,105,1290,10,2548,0,5494,
BIHAR,2006,82879910,20644376,10465201,43243795,39754714,2006,1232,1084,1188,530,53,1689,42,5425,
CHANDIGARH,2006,901080,382686,260559,506938,393697,2006,19,57,10,20,13,102,0,5922,
CHHATTISGARH,2006,20834530,6711395,4461754,10474218,10359585,2006,995,178,103,1598,143,717,1,9013,
Dadra and Nagar Haveli,2006,220963,72149,31755,121666,98824,2006,6,14,1,5,1,5,0,8657,
Daman and Diu,2006,158080,70992,36608,92512,65692,2006,3,1,0,2,0,2,0,880,
DELHI,2006,13851503,5700847,3963917,7607234,6243273,2006,623,1066,137,718,144,1728,0,831,
GOA,2006,1348900,541032,444530,687248,660420,2006,21,10,0,18,7,14,0,717,
GUJARAT,2006,50597200,17833273,11994477,26385577,24285440,2006,354,945,50,736,138,4977,0,812,
HARYANA,2006,21083900,7480209,4613468,11363953,9780611,2006,608,431,255,486,491,2254,0,788,
HIMACHAL PRADESH,2006,6077453,2278386,1763235,3087940,2989960,2006,113,109,3,275,31,259,0,790,
Jammu and Kashmir,2006,10070300,3060628,1746658,5360926,4782774,2006,250,723,10,960,347,135,0,1014,
JHARKHAND,2006,26946070,7646857,4130344,13885037,13060792,2006,799,410,281,414,44,668,5,976,
KARNATAKA,2006,52734986,17661211,12773751,26898918,25951644,2006,400,328,244,1683,38,2129,0,945,
KERALA,2006,31839000,12753602,12732086,15468614,16372760,2006,601,202,25,2543,222,3708,0,1027,
LAKSHADWEEP,2006,61300,24511,20172,31131,29519,2006,0,0,0,0,0,1,0,995,
MADHYA PRADESH,2006,60385090,19672274,11920289,31443652,28904371,2006,2900,617,764,6243,762,2989,0,906,
MAHARASHTRA,2006,96752500,37184963,26780980,50400596,46478031,2006,1500,921,387,3479,984,6738,1,1472,
MANIPUR,2006,2294480,753466,557068,1161952,1131944,2006,40,79,0,42,0,10,0,1434,
MEGHALAYA,2006,2306540,614272,543603,1176087,1142735,2006,74,25,6,57,0,13,0,1646,
MIZORAM,2006,889690,350105,311340,459109,429464,2006,72,1,0,51,0,1,0,2013,
NAGALAND,2006,1990275,640201,492122,1047141,942895,2006,23,3,0,3,2,3,0,2158,
ODISHA,2006,36707900,11992333,7844722,18660570,18144090,2006,985,577,457,2415,247,694,12,2195,
PUDUCHERRY,2006,974820,378758,317609,486961,487384,2006,9,13,3,56,39,19,0,2141,
PUNJAB,2006,24289130,8442293,6314677,12985045,11373954,2006,442,418,130,314,60,801,2,2425,
RAJASTHAN,2006,56473300,18047157,9654853,29420011,27087177,2006,1085,1553,394,2582,31,7038,3,2519,
SIKKIM,2006,541902,189060,129275,288484,252367,2006,20,7,0,14,0,6,0,2289,
TAMIL NADU,2006,62111390,22809662,17714883,31400909,31004770,2006,457,718,187,1179,852,1248,0,2613,
TRIPURA,2006,3191880,1150707,871392,1642225,1556978,2006,189,62,35,207,0,471,0,2605,
UTTAR PRADESH,2006,166053600,48901413,26817871,87565369,78632552,2006,1314,2551,1798,2096,2714,5204,0,3141,
UTTARAKHAND,2006,8489100,3008875,2096907,4325924,4163425,2006,147,183,80,153,113,358,0,3322,
WEST BENGAL,2006,80221300,27452426,19743975,41465985,38710212,2006,1731,1199,445,1837,63,7414,1,3505,
Andaman and Nicobar Islands,2007,356650,146831,106304,192972,163180,2007,3,9,1,21,2,18,0,3274,
ANDHRA PRADESH,2007,75728400,23444788,16489535,22807968,22414768,2007,1070,1564,613,4406,3316,11335,0,1851,
ARUNACHAL PRADESH,2007,1098328,303281,181504,579941,518027,2007,48,44,0,72,1,20,0,2288,
ASSAM,2007,26638600,8188697,5826657,13777037,12878491,2007,1437,1471,100,789,10,3000,0,2221,
BIHAR,2007,82879910,20644376,10465201,43243795,39754714,2007,1555,1260,1172,853,12,1635,56,2288,
CHANDIGARH,2007,901080,382686,260559,506938,393697,2007,22,46,1,32,11,112,0,2216,
CHHATTISGARH,2007,20834530,6711395,4461754,10474218,10359585,2007,982,181,100,1549,111,824,0,2621,
Dadra and Nagar Haveli,2007,220963,72149,31755,121666,98824,2007,7,6,0,0,0,3,0,2850,
Daman and Diu,2007,158080,70992,36608,92512,65692,2007,1,1,1,0,0,3,0,2740,
DELHI,2007,13851503,5700847,3963917,7607234,6243273,2007,598,1167,138,868,167,1787,0,2606,
GOA,2007,1348900,541032,444530,687248,660420,2007,20,7,2,20,7,14,0,2664,
GUJARAT,2007,50597200,17833273,11994477,26385577,24285440,2007,316,1089,42,822,120,5827,0,2715,
HARYANA,2007,21083900,7480209,4613468,11363953,9780611,2007,488,554,269,417,409,2412,0,3458,
HIMACHAL PRADESH,2007,6077453,2278386,1763235,3087940,2989960,2007,159,150,8,322,33,342,0,5065,
Jammu and Kashmir,2007,10070300,3060628,1746658,5360926,4782774,2007,288,707,9,986,353,176,0,4207,
JHARKHAND,2007,26946070,7646857,4130344,13885037,13060792,2007,855,534,303,342,15,801,0,4285,
KARNATAKA,2007,52734986,17661211,12773751,26898918,25951644,2007,436,390,251,1828,28,2507,0,4399,
KERALA,2007,31839000,12753602,12732086,15468614,16372760,2007,512,177,27,2624,262,3999,0,4132,
LAKSHADWEEP,2007,61300,24511,20172,31131,29519,2007,1,0,0,2,0,2,0,3916,
MADHYA PRADESH,2007,60385090,19672274,11920289,31443652,28904371,2007,3010,701,742,6772,780,3294,0,4455,
MAHARASHTRA,2007,96752500,37184963,26780980,50400596,46478031,2007,1451,967,436,3306,1039,7356,0,4822,
MANIPUR,2007,2294480,753466,557068,1161952,1131944,2007,20,83,0,70,0,15,0,5440,
MEGHALAYA,2007,2306540,614272,543603,1176087,1142735,2007,82,22,2,45,1,19,0,5747,
MIZORAM,2007,889690,350105,311340,459109,429464,2007,83,0,0,66,0,2,0,6618,
NAGALAND,2007,1990275,640201,492122,1047141,942895,2007,13,6,0,8,1,0,0,7488,
ODISHA,2007,36707900,11992333,7844722,18660570,18144090,2007,939,660,461,2775,241,728,0,8031,
PUDUCHERRY,2007,974820,378758,317609,486961,487384,2007,9,14,2,89,32,17,0,8703,
PUNJAB,2007,24289130,8442293,6314677,12985045,11373954,2007,519,545,133,427,48,971,0,9992,
RAJASTHAN,2007,56473300,18047157,9654853,29420011,27087177,2007,1238,1694,439,2477,28,8170,0,11552,
SIKKIM,2007,541902,189060,129275,288484,252367,2007,24,9,0,13,0,7,0,5270,
TAMIL NADU,2007,62111390,22809662,17714883,31400909,31004770,2007,523,1097,208,1540,875,1976,0,5668,
TRIPURA,2007,3191880,1150707,871392,1642225,1556978,2007,157,81,36,244,4,545,0,5474,
UTTAR PRADESH,2007,166053600,48901413,26817871,87565369,78632552,2007,1648,3363,2076,2522,2882,7650,0,6268,
UTTARAKHAND,2007,8489100,3008875,2096907,4325924,4163425,2007,117,227,70,146,63,463,0,6425,
