STATE/UT,Year,Population,Literates - Males,Literates - Females,Population - Males,Population - Females,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total Crimes against Women,Total Crimes In India
WEST BENGAL,2007,80221300,27452426,19743975,41465985,38710212,2007,2106,1590,451,2281,99,9900,5,7301,
Andaman and Nicobar Islands,2008,356650,146831,106304,192972,163180,2008,12,13,2,24,3,26,0,7601,
ANDHRA PRADESH,2008,75728400,23444788,16489535,22807968,22414768,2008,1257,1396,556,4730,3551,10306,0,7906,
ARUNACHAL PRADESH,2008,1098328,303281,181504,579941,518027,2008,42,47,0,72,1,13,0,7703,
ASSAM,2008,26638600,8188697,5826657,13777037,12878491,2008,1438,1789,103,1272,2,3478,0,9110,
BIHAR,2008,82879910,20644376,10465201,43243795,39754714,2008,1302,1789,1210,999,21,1992,22,11074,
CHANDIGARH,2008,901080,382686,260559,506938,393697,2008,20,42,3,19,2,49,0,10714,
CHHATTISGARH,2008,20834530,6711395,4461754,10474218,10359585,2008,978,216,106,1621,125,897,0,11013,
Dadra and Nagar Haveli,2008,220963,72149,31755,121666,98824,2008,6,11,0,4,0,4,0,11061,
Daman and Diu,2008,158080,70992,36608,92512,65692,2008,0,1,0,2,1,5,0,0,
DELHI,2008,13851503,5700847,3963917,7607234,6243273,2008,466,1136,129,611,130,1387,0,2,
GOA,2008,1348900,541032,444530,687248,660420,2008,30,28,2,32,12,12,0,4,
GUJARAT,2008,50597200,17833273,11994477,26385577,24285440,2008,374,1119,27,828,122,6094,0,1,
HARYANA,2008,21083900,7480209,4613468,11363953,9780611,2008,631,644,302,435,605,2435,0,0,
HIMACHAL PRADESH,2008,6077453,2278386,1763235,3087940,2989960,2008,157,137,3,295,41,343,0,1,
Jammu and Kashmir,2008,10070300,3060628,1746658,5360926,4782774,2008,219,656,21,935,296,162,0,5,
JHARKHAND,2008,26946070,7646857,4130344,13885037,13060792,2008,791,499,266,271,23,851,39,4,
KARNATAKA,2008,52734986,17661211,12773751,26898918,25951644,2008,446,405,259,1954,44,2638,1,1,
KERALA,2008,31839000,12753602,12732086,15468614,16372760,2008,568,166,31,2745,258,4138,0,0,
LAKSHADWEEP,2008,61300,24511,20172,31131,29519,2008,2,1,0,0,0,1,0,0,
MADHYA PRADESH,2008,60385090,19672274,11920289,31443652,28904371,2008,2937,736,805,6445,758,3185,0,2,
MAHARASHTRA,2008,96752500,37184963,26780980,50400596,46478031,2008,1558,998,390,3619,1091,7829,0,3,
MANIPUR,2008,2294480,753466,557068,1161952,1131944,2008,38,87,1,57,0,28,0,4,
MEGHALAYA,2008,2306540,614272,543603,1176087,1142735,2008,88,25,2,54,4,32,0,14504,
MIZORAM,2008,889690,350105,311340,459109,429464,2008,77,1,0,78,0,5,0,15222,
NAGALAND,2008,1990275,640201,492122,1047141,942895,2008,19,7,0,15,1,4,0,14485,
ODISHA,2008,36707900,11992333,7844722,18660570,18144090,2008,1113,762,401,2782,282,1618,0,15140,
PUDUCHERRY,2008,974820,378758,317609,486961,487384,2008,8,9,2,65,21,12,0,14474,
PUNJAB,2008,24289130,8442293,6314677,12985045,11373954,2008,517,514,128,388,49,984,0,14275,
RAJASTHAN,2008,56473300,18047157,9654853,29420011,27087177,2008,1355,1863,439,2520,19,8113,0,15299,
SIKKIM,2008,541902,189060,129275,288484,252367,2008,20,4,0,19,0,5,0,14866,
TAMIL NADU,2008,62111390,22809662,17714883,31400909,31004770,2008,573,1160,207,1705,974,1648,0,15716,
TRIPURA,2008,3191880,1150707,871392,1642225,1556978,2008,204,110,16,346,4,735,0,16382,
UTTAR PRADESH,2008,166053600,48901413,26817871,87565369,78632552,2008,1871,4439,2237,2955,3374,8312,0,16509,
UTTARAKHAND,2008,8489100,3008875,2096907,4325924,4163425,2008,87,222,73,120,306,340,0,16718,
WEST BENGAL,2008,80221300,27452426,19743975,41465985,38710212,2008,2263,1907,451,2396,94,13663,5,21967,
Andaman and Nicobar Islands,2009,356650,146831,106304,192972,163180,2009,18,14,1,30,7,21,0,27986,
ANDHRA PRADESH,2009,75728400,23444788,16489535,22807968,22414768,2009,1188,1526,546,5147,3520,11297,0,12255,
ARUNACHAL PRADESH,2009,1098328,303281,181504,579941,518027,2009,59,28,0,58,6,13,0,11113,
ASSAM,2009,26638600,8188697,5826657,13777037,12878491,2009,1631,2092,170,1342,10,4398,1,11057,
BIHAR,2009,82879910,20644376,10465201,43243795,39754714,2009,929,1986,1295,726,12,2532,31,11828,
CHANDIGARH,2009,901080,382686,260559,506938,393697,2009,29,36,2,26,2,51,0,13117,
CHHATTISGARH,2009,20834530,6711395,4461754,10474218,10359585,2009,976,229,128,1598,152,893,0,14010,
Dadra and Nagar Haveli,2009,220963,72149,31755,121666,98824,2009,4,9,0,2,1,3,0,14555,
Daman and Diu,2009,158080,70992,36608,92512,65692,2009,1,0,0,4,1,3,0,15485,
DELHI,2009,13851503,5700847,3963917,7607234,6243273,2009,469,1655,141,552,118,1283,0,14726,
GOA,2009,1348900,541032,444530,687248,660420,2009,47,22,3,37,10,21,0,15391,
GUJARAT,2009,50597200,17833273,11994477,26385577,24285440,2009,433,1162,24,727,114,5506,0,15293,
HARYANA,2009,21083900,7480209,4613468,11363953,9780611,2009,603,659,281,451,605,2617,0,15952,
HIMACHAL PRADESH,2009,6077453,2278386,1763235,3087940,2989960,2009,183,122,1,318,37,284,0,24563,
Jammu and Kashmir,2009,10070300,3060628,1746658,5360926,4782774,2009,237,825,12,972,371,196,0,25447,
JHARKHAND,2009,26946070,7646857,4130344,13885037,13060792,2009,719,517,295,276,83,710,6,108,
KARNATAKA,2009,52734986,17661211,12773751,26898918,25951644,2009,509,408,264,2186,64,3185,2,164,
KERALA,2009,31839000,12753602,12732086,15468614,16372760,2009,568,173,20,2540,395,4007,0,137,
LAKSHADWEEP,2009,61300,24511,20172,31131,29519,2009,1,0,0,0,0,0,0,134,
MADHYA PRADESH,2009,60385090,19672274,11920289,31443652,28904371,2009,2998,841,858,6307,728,3983,1,139,
MAHARASHTRA,2009,96752500,37184963,26780980,50400596,46478031,2009,1483,926,341,3196,1099,7681,0,171,
MANIPUR,2009,2294480,753466,557068,1161952,1131944,2009,31,97,0,39,2,25,0,188,
MEGHALAYA,2009,2306540,614272,543603,1176087,1142735,2009,112,26,0,72,1,24,1,211,
MIZORAM,2009,889690,350105,311340,459109,429464,2009,83,0,0,61,1,4,0,194,
NAGALAND,2009,1990275,640201,492122,1047141,942895,2009,22,10,0,11,0,0,0,190,
ODISHA,2009,36707900,11992333,7844722,18660570,18144090,2009,1023,799,384,2697,210,2047,1,247,
PUDUCHERRY,2009,974820,378758,317609,486961,487384,2009,1,13,0,53,16,10,0,289,
PUNJAB,2009,24289130,8442293,6314677,12985045,11373954,2009,511,513,126,319,33,1061,0,285,
RAJASTHAN,2009,56473300,18047157,9654853,29420011,27087177,2009,1519,2310,436,2485,24,10371,0,336,
SIKKIM,2009,541902,189060,129275,288484,252367,2009,18,6,0,10,0,6,0,66,
TAMIL NADU,2009,62111390,22809662,17714883,31400909,31004770,2009,596,1133,194,1242,501,1460,0,71,
TRIPURA,2009,3191880,1150707,871392,1642225,1556978,2009,190,92,29,384,5,815,0,68,
UTTAR PRADESH,2009,166053600,48901413,26817871,87565369,78632552,2009,1759,5078,2232,2782,2524,8566,0,113,
UTTARAKHAND,2009,8489100,3008875,2096907,4325924,4163425,2009,111,247,94,119,249,361,0,130,
WEST BENGAL,2009,80221300,27452426,19743975,41465985,38710212,2009,2336,2187,506,1942,108,16112,5,175,
Andaman and Nicobar Islands,2010,356650,146831,106304,192972,163180,2010,24,8,0,31,10,9,0,171,
ANDHRA PRADESH,2010,75728400,23444788,16489535,22807968,22414768,2010,1362,1531,588,4634,4562,12080,0,205,
ARUNACHAL PRADESH,2010,1098328,303281,181504,579941,518027,2010,47,46,0,84,1,12,0,236,
ASSAM,2010,26638600,8188697,5826657,13777037,12878491,2010,1721,2767,175,1400,20,5410,0,258,
BIHAR,2010,82879910,20644376,10465201,43243795,39754714,2010,795,2569,1257,534,16,2271,8,267,
CHANDIGARH,2010,901080,382686,260559,506938,393697,2010,31,28,5,29,4,41,0,248,
CHHATTISGARH,2010,20834530,6711395,4461754,10474218,10359585,2010,1012,279,115,1706,182,861,2,339,
Dadra and Nagar Haveli,2010,220963,72149,31755,121666,98824,2010,3,10,0,11,2,3,0,358,
Daman and Diu,2010,158080,70992,36608,92512,65692,2010,1,2,0,2,0,3,0,124,
DELHI,2010,13851503,5700847,3963917,7607234,6243273,2010,507,1740,143,601,80,1404,0,154,
GOA,2010,1348900,541032,444530,687248,660420,2010,36,18,1,36,16,17,0,147,
GUJARAT,2010,50597200,17833273,11994477,26385577,24285440,2010,408,1290,19,668,110,5600,0,86,
HARYANA,2010,21083900,7480209,4613468,11363953,9780611,2010,720,714,284,476,580,2720,0,94,
HIMACHAL PRADESH,2010,6077453,2278386,1763235,3087940,2989960,2010,160,162,2,350,78,275,0,125,
Jammu and Kashmir,2010,10070300,3060628,1746658,5360926,4782774,2010,245,840,9,1038,262,211,0,151,
JHARKHAND,2010,26946070,7646857,4130344,13885037,13060792,2010,773,696,276,245,16,650,8,161,
KARNATAKA,2010,52734986,17661211,12773751,26898918,25951644,2010,586,586,248,2544,83,3441,0,149,
KERALA,2010,31839000,12753602,12732086,15468614,16372760,2010,634,184,22,2936,537,4797,0,170,
LAKSHADWEEP,2010,61300,24511,20172,31131,29519,2010,0,0,0,0,0,0,0,159,
MADHYA PRADESH,2010,60385090,19672274,11920289,31443652,28904371,2010,3135,1030,892,6646,918,3756,5,199,
MAHARASHTRA,2010,96752500,37184963,26780980,50400596,46478031,2010,1599,1124,393,3661,1180,7434,0,177,
MANIPUR,2010,2294480,753466,557068,1161952,1131944,2010,34,107,0,31,0,18,0,257,
MEGHALAYA,2010,2306540,614272,543603,1176087,1142735,2010,149,37,0,48,0,24,0,29,
MIZORAM,2010,889690,350105,311340,459109,429464,2010,92,0,0,75,0,3,0,22,
NAGALAND,2010,1990275,640201,492122,1047141,942895,2010,16,6,0,13,3,1,0,24,
ODISHA,2010,36707900,11992333,7844722,18660570,18144090,2010,1025,912,388,2905,232,2067,5,26,
PUDUCHERRY,2010,974820,378758,317609,486961,487384,2010,3,14,1,46,22,7,0,33,
PUNJAB,2010,24289130,8442293,6314677,12985045,11373954,2010,546,576,121,349,38,1163,0,34,
RAJASTHAN,2010,56473300,18047157,9654853,29420011,27087177,2010,1571,2477,462,2339,23,11145,0,28,
SIKKIM,2010,541902,189060,129275,288484,252367,2010,18,6,1,11,0,3,0,46,
TAMIL NADU,2010,62111390,22809662,17714883,31400909,31004770,2010,686,1464,165,1405,638,1570,0,43,
TRIPURA,2010,3191880,1150707,871392,1642225,1556978,2010,238,91,25,376,9,937,0,39,
UTTAR PRADESH,2010,166053600,48901413,26817871,87565369,78632552,2010,1563,5468,2217,2793,11,7978,0,36,
UTTARAKHAND,2010,8489100,3008875,2096907,4325924,4163425,2010,121,249,75,125,165,334,0,47,
WEST BENGAL,2010,80221300,27452426,19743975,41465985,38710212,2010,2311,2764,507,2465,163,17796,8,66,
Andaman and Nicobar Islands,2011,379944,164377,129904,202871,177710,2011,13,12,0,15,3,5,0,63,
ANDHRA PRADESH,2011,49386799,28251243,22305517,24738068,24648731,2011,1442,1612,599,4849,3658,13376,0,4897,
ARUNACHAL PRADESH,2011,1382611,439868,326137,713912,669815,2011,42,60,0,51,0,18,0,4331,
ASSAM,2011,31169272,10568639,8609338,15939443,15266133,2011,1700,3192,121,1193,8,5246,2,4523,
BIHAR,2011,103804630,31608023,20896530,54278157,49821295,2011,934,3050,1413,790,11,2607,10,4685,
CHANDIGARH,2011,1054686,465346,340092,580663,474787,2011,27,46,2,21,12,46,0,5773,
CHHATTISGARH,2011,25540196,8807893,6572029,12832895,12712303,2011,1053,365,104,1654,174,834,2,5387,
Dadra and Nagar Haveli,2011,342853,142521,80709,193760,149949,2011,4,8,0,2,0,3,0,5804,
Daman and Diu,2011,242911,124643,63763,150301,92946,2011,1,2,0,0,0,2,0,6958,
DELHI,2011,16753235,7194856,5542911,8987326,7800615,2011,572,2085,142,657,162,1575,0,7161,
GOA,2011,1457723,615823,549664,739140,719405,2011,29,17,1,29,12,18,0,7534,
GUJARAT,2011,60383628,23474873,17618485,31491260,28948432,2011,439,1442,30,685,93,6052,0,8347,
HARYANA,2011,25753081,9794067,6804921,13494734,11856728,2011,733,733,255,474,490,2740,0,10476,
HIMACHAL PRADESH,2011,6856509,2752590,2287146,3481873,3382729,2011,168,191,4,331,62,239,0,12130,
Jammu and Kashmir,2011,12548926,4264671,2802562,6640662,5900640,2011,277,1023,11,1194,350,286,0,13891,
JHARKHAND,2011,32988134,10882519,7445550,16930315,16057819,2011,784,660,282,317,7,659,6,78,
KARNATAKA,2011,61130704,22508471,18138851,30966657,30128640,2011,636,715,267,2608,81,3712,12,111,
KERALA,2011,33387677,13704903,14430921,16027412,17378649,2011,1132,221,15,3756,573,5377,0,103,
LAKSHADWEEP,2011,64429,28023,24530,33123,31350,2011,0,0,0,0,0,0,0,100,
MADHYA PRADESH,2011,72597565,25174328,17676841,37612306,35014503,2011,3406,1088,811,6665,762,3732,45,105,
MAHARASHTRA,2011,112372972,45257584,36296706,58243056,54131277,2011,1701,1252,339,3794,1071,7136,0,139,
MANIPUR,2011,2721756,960015,808166,1438586,1417208,2011,53,116,1,38,0,39,0,163,
MEGHALAYA,2011,2964007,913879,871126,1491832,1475057,2011,130,37,1,74,1,21,3,117,
MIZORAM,2011,1091014,438529,409646,555339,541867,2011,77,0,0,72,1,9,0,93,
NAGALAND,2011,1980602,723957,618477,1024649,953853,2011,23,3,0,9,0,1,0,93,
ODISHA,2011,41947358,15089681,11652914,21212136,20762082,2011,1112,1008,465,3207,235,2320,0,78,
PUDUCHERRY,2011,1244464,497378,459931,612511,635442,2011,7,9,1,35,16,10,0,46,
PUNJAB,2011,27704236,10436056,8271081,14639465,13103873,2011,479,517,143,282,31,1136,0,71,
RAJASTHAN,2011,68621012,23688412,14586870,35550997,32997440,2011,1800,2713,514,2447,9,12218,0,62,
SIKKIM,2011,607688,251269,193683,323070,287507,2011,16,10,0,24,0,4,0,2328,
TAMIL NADU,2011,72138958,28040491,23797016,36137975,36009055,2011,677,1743,152,1467,464,1812,0,2249,
TRIPURA,2011,3671032,1501369,1303414,1874376,1799541,2011,205,116,30,294,9,702,0,2317,
UTTAR PRADESH,2011,199581477,68234964,46162591,104480510,95331831,2011,2042,7525,2322,3455,3,7121,0,1914,
UTTARAKHAND,2011,10116752,3863708,3017245,5137773,4948519,2011,129,283,83,116,72,307,0,1906,
WEST BENGAL,2011,91347736,33818810,27719471,46809027,44467088,2011,2363,3711,510,2363,200,19772,0,2167,
Andaman and Nicobar Islands,2012,379944,164377,129904,202871,177710,2012,12,7,2,17,4,5,0,2643,
ANDHRA PRADESH,2012,49386799,28251243,22305517,24738068,24648731,2012,1341,1403,504,4816,3714,13389,0,2580,
ARUNACHAL PRADESH,2012,1382611,439868,326137,713912,669815,2012,46,58,1,67,2,26,0,2563,
ASSAM,2012,31169272,10568639,8609338,15939443,15266133,2012,1716,3360,140,1840,5,6407,2,2793,
BIHAR,2012,103804630,31608023,20896530,54278157,49821295,2012,927,3789,1275,118,37,3686,4,2588,
CHANDIGARH,2012,1054686,465346,340092,580663,474787,2012,27,66,5,45,25,73,0,3151,
CHHATTISGARH,2012,25540196,8807893,6572029,12832895,12712303,2012,1034,350,81,1601,162,980,0,4854,
Dadra and Nagar Haveli,2012,342853,142521,80709,193760,149949,2012,3,9,0,2,0,0,0,5076,
Daman and Diu,2012,242911,124643,63763,150301,92946,2012,5,0,0,0,0,3,0,12057,
DELHI,2012,16753235,7194856,5542911,8987326,7800615,2012,706,2160,134,727,208,1985,0,11934,
GOA,2012,1457723,615823,549664,739140,719405,2012,55,16,0,49,16,24,0,11671,
GUJARAT,2012,60383628,23474873,17618485,31491260,28948432,2012,473,1527,21,745,93,6658,0,12946,
HARYANA,2012,25753081,9794067,6804921,13494734,11856728,2012,668,900,258,525,434,3137,0,11431,
HIMACHAL PRADESH,2012,6856509,2752590,2287146,3481873,3382729,2012,183,152,2,250,68,251,0,12686,
Jammu and Kashmir,2012,12548926,4264671,2802562,6640662,5900640,2012,303,1041,8,1322,347,301,0,14046,
JHARKHAND,2012,32988134,10882519,7445550,16930315,16057819,2012,812,786,302,284,10,1261,3,14309,
KARNATAKA,2012,61130704,22508471,18138851,30966657,30128640,2012,621,1070,218,2978,100,3684,32,17145,
KERALA,2012,33387677,13704903,14430921,16027412,17378649,2012,1019,214,32,3735,498,5216,0,18017,
LAKSHADWEEP,2012,64429,28023,24530,33123,31350,2012,0,0,0,1,0,1,0,19701,
MADHYA PRADESH,2012,72597565,25174328,17676841,37612306,35014503,2012,3425,1127,743,6655,774,3988,6,20906,
MAHARASHTRA,2012,112372972,45257584,36296706,58243056,54131277,2012,1839,1140,329,3935,1294,7415,0,27734,
MANIPUR,2012,2721756,960015,808166,1438586,1417208,2012,63,133,0,49,1,43,0,30510,
MEGHALAYA,2012,2964007,913879,871126,1491832,1475057,2012,164,24,1,43,0,16,0,24,
MIZORAM,2012,1091014,438529,409646,555339,541867,2012,103,3,0,85,0,8,0,28,
NAGALAND,2012,1980602,723957,618477,1024649,953853,2012,21,10,0,16,0,0,0,36,
ODISHA,2012,41947358,15089681,11652914,21212136,20762082,2012,1458,1364,525,4187,304,2638,0,48,
PUDUCHERRY,2012,1244464,497378,459931,612511,635442,2012,13,16,0,9,2,6,0,62,
PUNJAB,2012,27704236,10436056,8271081,14639465,13103873,2012,680,689,118,340,31,1293,0,47,
RAJASTHAN,2012,68621012,23688412,14586870,35550997,32997440,2012,2049,2697,478,2352,18,13312,0,53,
SIKKIM,2012,607688,251269,193683,323070,287507,2012,34,10,1,19,0,4,0,48,
TAMIL NADU,2012,72138958,28040491,23797016,36137975,36009055,2012,737,1693,110,1494,382,1965,0,40,
TRIPURA,2012,3671032,1501369,1303414,1874376,1799541,2012,229,114,37,314,7,858,0,39,
UTTAR PRADESH,2012,199581477,68234964,46162591,104480510,95331831,2012,1963,7910,2244,3247,8,7661,0,54,
UTTARAKHAND,2012,10116752,3863708,3017245,5137773,4948519,2012,148,256,71,139,73,368,0,68,
WEST BENGAL,2012,91347736,33818810,27719471,46809027,44467088,2012,2046,4168,593,3345,556,19865,12,93,
Andaman and Nicobar Islands,2013,379944,164377,129904,202871,177710,2013,27,12,1,45,8,9,0,101,
ANDHRA PRADESH,2013,49386799,28251243,22305517,24738068,24648731,2013,1635,1595,492,6930,4702,15084,0,4835,
ARUNACHAL PRADESH,2013,1382611,439868,326137,713912,669815,2013,75,86,0,93,3,29,0,6138,
ASSAM,2013,31169272,10568639,8609338,15939443,15266133,2013,1937,4222,170,2409,14,8636,2,5868,
BIHAR,2013,103804630,31608023,20896530,54278157,49821295,2013,1128,4419,1182,331,52,4533,7,5914,
CHANDIGARH,2013,1054686,465346,340092,580663,474787,2013,45,174,1,143,26,92,0,5648,
CHHATTISGARH,2013,25540196,8807893,6572029,12832895,12712303,2013,1380,1881,109,2261,180,1181,1,4641,
Dadra and Nagar Haveli,2013,342853,142521,80709,193760,149949,2013,5,11,0,1,1,1,0,6219,
Daman and Diu,2013,242911,124643,63763,150301,92946,2013,8,6,0,2,0,2,0,6267,
DELHI,2013,16753235,7194856,5542911,8987326,7800615,2013,1636,3609,144,3515,916,3033,0,5126,
GOA,2013,1457723,615823,549664,739140,719405,2013,86,70,0,162,54,40,0,5928,
GUJARAT,2013,60383628,23474873,17618485,31491260,28948432,2013,732,2230,29,1243,77,7812,0,6315,
HARYANA,2013,25753081,9794067,6804921,13494734,11856728,2013,971,1957,263,1560,643,3617,2,6381,
HIMACHAL PRADESH,2013,6856509,2752590,2287146,3481873,3382729,2013,250,290,0,493,111,328,0,6612,
Jammu and Kashmir,2013,12548926,4264671,2802562,6640662,5900640,2013,378,949,7,1389,354,428,0,5486,
JHARKHAND,2013,32988134,10882519,7445550,16930315,16057819,2013,1204,926,307,524,18,2084,2,438,
KARNATAKA,2013,61130704,22508471,18138851,30966657,30128640,2013,1030,1359,277,3913,137,3276,0,536,
KERALA,2013,33387677,13704903,14430921,16027412,17378649,2013,1221,185,21,4362,404,4820,0,537,
LAKSHADWEEP,2013,64429,28023,24530,33123,31350,2013,2,0,0,1,0,0,0,670,
MADHYA PRADESH,2013,72597565,25174328,17676841,37612306,35014503,2013,4335,2873,776,8252,736,4988,7,840,
MAHARASHTRA,2013,112372972,45257584,36296706,58243056,54131277,2013,3063,1874,320,8132,2632,8542,0,964,
MANIPUR,2013,2721756,960015,808166,1438586,1417208,2013,72,125,0,59,0,29,0,1067,
MEGHALAYA,2013,2964007,913879,871126,1491832,1475057,2013,183,33,2,98,0,23,0,1415,
MIZORAM,2013,1091014,438529,409646,555339,541867,2013,89,2,0,81,0,5,0,1515,
NAGALAND,2013,1980602,723957,618477,1024649,953853,2013,31,11,1,18,1,4,0,1676,
ODISHA,2013,41947358,15089681,11652914,21212136,20762082,2013,1832,2067,395,4618,426,2792,0,1356,
PUDUCHERRY,2013,1244464,497378,459931,612511,635442,2013,17,25,1,12,8,8,0,1559,
PUNJAB,2013,27704236,10436056,8271081,14639465,13103873,2013,888,987,126,1045,67,1741,0,1627,
RAJASTHAN,2013,68621012,23688412,14586870,35550997,32997440,2013,3285,4047,453,4829,25,15094,1,1579,
SIKKIM,2013,607688,251269,193683,323070,287507,2013,43,16,0,29,0,5,0,19858,
TAMIL NADU,2013,72138958,28040491,23797016,36137975,36009055,2013,923,1516,118,1271,313,2471,0,15317,
TRIPURA,2013,3671032,1501369,1303414,1874376,1799541,2013,233,124,29,407,7,827,0,12426,
UTTAR PRADESH,2013,199581477,68234964,46162591,104480510,95331831,2013,3050,9737,2335,7303,25,8781,0,14964,
UTTARAKHAND,2013,10116752,3863708,3017245,5137773,4948519,2013,228,633,43,295,72,435,0,14258,
WEST BENGAL,2013,91347736,33818810,27719471,46809027,44467088,2013,1685,3830,481,4913,577,18116,9,15677,
Andaman and Nicobar Islands,2014,379944,164377,129904,202871,177710,2014,32,17,3,41,5,14,0,20141,
ANDHRA PRADESH,2014,49386799,28251243,22305517,24738068,24648731,2014,961,721,215,4547,2649,6362,0,23188,
ARUNACHAL PRADESH,2014,1382611,439868,326137,713912,669815,2014,83,91,1,121,3,42,0,22941,
ASSAM,2014,31169272,10568639,8609338,15939443,15266133,2014,1980,3895,188,3099,1,9626,1,20030,
BIHAR,2014,103804630,31608023,20896530,54278157,49821295,2014,1127,4735,1373,572,69,4672,5,22468,
CHANDIGARH,2014,1054686,465346,340092,580663,474787,2014,59,133,2,87,2,141,0,23033,
CHHATTISGARH,2014,25540196,8807893,6572029,12832895,12712303,2014,1436,1393,128,2122,79,964,0,31231,
Dadra and Nagar Haveli,2014,342853,142521,80709,193760,149949,2014,5,7,0,2,1,6,0,35667,
Daman and Diu,2014,242911,124643,63763,150301,92946,2014,2,1,0,3,0,1,0,744,
DELHI,2014,16753235,7194856,5542911,8987326,7800615,2014,2096,4034,153,4322,1361,3173,0,869,
GOA,2014,1457723,615823,549664,739140,719405,2014,95,86,0,202,57,35,0,885,
GUJARAT,2014,60383628,23474873,17618485,31491260,28948432,2014,841,2187,23,1352,173,5991,0,982,
HARYANA,2014,25753081,9794067,6804921,13494734,11856728,2014,1174,1922,293,1688,102,3478,0,782,
HIMACHAL PRADESH,2014,6856509,2752590,2287146,3481873,3382729,2014,283,227,1,538,60,325,0,1034,
Jammu and Kashmir,2014,12548926,4264671,2802562,6640662,5900640,2014,331,813,5,1421,237,467,0,1086,
JHARKHAND,2014,32988134,10882519,7445550,16930315,16057819,2014,1050,885,350,440,18,1462,2,1148,
KARNATAKA,2014,61130704,22508471,18138851,30966657,30128640,2014,1324,1457,313,5263,170,3025,0,1181,
KERALA,2014,33387677,13704903,14430921,16027412,17378649,2014,1347,143,28,4367,257,4919,0,1069,
LAKSHADWEEP,2014,64429,28023,24530,33123,31350,2014,1,0,0,1,2,0,0,990,
MADHYA PRADESH,2014,72597565,25174328,17676841,37612306,35014503,2014,5076,5688,733,9609,429,6451,0,1055,
MAHARASHTRA,2014,112372972,45257584,36296706,58243056,54131277,2014,3438,2457,279,10001,1575,7696,1,1706,
MANIPUR,2014,2721756,960015,808166,1438586,1417208,2014,75,121,1,98,0,41,0,1231,
MEGHALAYA,2014,2964007,913879,871126,1491832,1475057,2014,118,38,1,105,54,42,0,6533,
MIZORAM,2014,1091014,438529,409646,555339,541867,2014,120,3,0,97,29,8,0,6794,
NAGALAND,2014,1980602,723957,618477,1024649,953853,2014,30,13,0,16,1,3,0,8338,
ODISHA,2014,41947358,15089681,11652914,21212136,20762082,2014,1978,2436,441,5543,379,3114,0,10865,
PUDUCHERRY,2014,1244464,497378,459931,612511,635442,2014,10,7,1,32,8,4,0,11794,
PUNJAB,2014,27704236,10436056,8271081,14639465,13103873,2014,981,1176,90,1113,35,1681,0,12690,
RAJASTHAN,2014,68621012,23688412,14586870,35550997,32997440,2014,3759,4421,408,5999,18,15905,0,16432,
SIKKIM,2014,607688,251269,193683,323070,287507,2014,47,12,0,34,3,5,0,20779,
TAMIL NADU,2014,72138958,28040491,23797016,36137975,36009055,2014,455,1502,95,1102,229,2103,0,23196,
TRIPURA,2014,3671032,1501369,1303414,1874376,1799541,2014,239,102,33,492,11,702,0,26014,
UTTAR PRADESH,2014,199581477,68234964,46162591,104480510,95331831,2014,3467,10626,2469,8605,29,10471,0,28919,
UTTARAKHAND,2014,10116752,3863708,3017245,5137773,4948519,2014,270,275,38,343,4,301,0,30585,
WEST BENGAL,2014,91347736,33818810,27719471,46809027,44467088,2014,1466,4976,501,5670,543,23278,4,29611,
